абвер|а+бве+р
брутто-задолженность|бру+тто-задо+лженность
брутто-масса|бру+тто-ма+сса
брутто-тонна|бру+тто-то+нна
буги-вуги|бу+ги-ву+ги
бултыхнуть|булты+хну+ть
бултыхнуться|булты+хну+ться
бумажно-бакелитовый|бума+жно-бакели+товый
бумажно-денежный|бума+жно-де+нежный
буржуазно-националистический|буржуа+зно-националисти+ческий
буржуазно-помещичий|буржуа+зно-поме+щичий
буржуазно-реформистский|буржуа+зно-реформи+стский
буро-красный|бу+ро-кра+сный
буровато-коричневый|бурова+то-кори+чневый
бурят-монгол|буря+т-монго+л
бурят-монголка|буря+т-монго+лка
бурят-монгольский|буря+т-монго+льский
бустер-насос|бу+стер-насо+с
бутылочно-баночный|буты+лочно-ба+ночный
былинно-эпический|были+нно-эпи+ческий
бэрчизм|бэрчи+зм
бюджетно-финансовый|бюдже+тно-фина+нсовый
вагон-контейнер|ваго+н-конте+йнер
вагон-ледник|ваго+н-ле+дник
вагон-ресторан|ваго+н-рестора+н
вагонно-паровозный|ваго+нно-парово+зный
вакуум-аппарат|ва+куум-аппара+т
вакуум-камера|ва+куум-ка+мера
вакуум-насос|ва+куум-насо+с
вакуум-пресс|ва+куум-пре+сс
вакуум-прессование|ва+куум-прессова+ние
вакуум-процесс|ва+куум-проце+сс
вакуум-сушилка|ва+куум-суши+лка
вакуум-установка|ва+куум-устано+вка
вакуум-фильтр|ва+куум-фи+льтр
вакуум-щит|ва+куум-щи+т
вакуум-экстракция|ва+куум-экстра+кция
вакуумметрия|вакуумме+три+я
вакуумно-термический|ва+куумно-терми+ческий
вальтер-скоттовский|ва+льтер-ско+ттовский
валютно-финансовый|валю+тно-фина+нсовый
валяльно-войлочный|валя+льно-во+йлочный
ванька-встанька|ва+нька-вста+нька
вариоэкран|вариоэкра+н
вектор-потенциал|ве+ктор-потенциа+л
вектор-функция|ве+ктор-фу+нкция
велоэргометр|велоэрго+метр
венгеро-болгарский|венге+ро-болга+рский
венгерско-русский|венге+рско-ру+сский
венесуэлец|венесуэ+лец
венесуэлка|венесуэ+лка
венесуэльский|венесуэ+льский
венециано-турецкий|венециа+но-туре+цкий
веретеница|верете+ни+ца
вертикально-сверлильный|вертика+льно-сверли+льный
вертикально-фрезерный|вертика+льно-фре+зерный
весенне-летний|весе+нне-ле+тний
весенне-полевой|весе+нне-полево+й
весенне-посевной|весе+нне-посевно+й
ветеринарно-зоотехнический|ветерина+рно-зоотехни+ческий
ветеринарно-лечебный|ветерина+рно-лече+бный
ветеринарно-профилактический|ветерина+рно-профилакти+ческий
ветеринарно-санитарный|ветерина+рно-санита+рный
ветроэлектрический|ветроэлектри+ческий
ветроэлектростанция|ветроэлектроста+нция
ветроэнергетика|ветроэнерге+тика
ветроэнергетический|ветроэнергети+ческий
ветсанэкспертиза|ветсанэксперти+за
ветчинно-рубленый|ветчи+нно-ру+бленый
взаимно-возвратный|взаи+мно-возвра+тный
взашей|вза+ше+й
взвихрить1|взви+хри+ть1
взвихриться1|взви+хри+ться1
видано-перевидано|ви+дано-переви+дано
видимо-невидимо|ви+димо-неви+димо
визуально-двойной|визуа+льно-двойно+й
виктория-регия|викто+рия-ре+гия
винно-водочный|ви+нно-во+дочный
винно-каменный|ви+нно-ка+менный
винно-коньячный|ви+нно-конья+чный
вираж-фиксаж|вира+ж-фикса+ж
витаминно-травяной|витами+нно-травяно+й
витютень|ви+тю+тень
вихрить|ви+хри+ть
вихриться|ви+хри+ться
вице-адмирал|ви+це-адмира+л
вице-адмирал-инженер|ви+це-адмира+л-инжене+р
вице-адмиральский|ви+це-адмира+льский
вице-губернатор|ви+це-губерна+тор
вице-губернаторский|ви+це-губерна+торский
вице-канцлер|ви+це-ка+нцлер
вице-канцлерский|ви+це-ка+нцлерский
вице-консул|ви+це-ко+нсул
вице-консульский|ви+це-ко+нсульский
вице-король|ви+це-коро+ль
вице-президент|ви+це-президе+нт
вице-президентский|ви+це-президе+нтский
вклинить|вкли+ни+ть
вклиниться|вкли+ни+ться
вкрапленно-прожилковый|вкра+пленно-прожи+лковый
влажно-тепловой|вла+жно-теплово+й
влажно-тропический|вла+жно-тропи+ческий
внешнеэкономический|внешнеэкономи+ческий
внеэкономический|внеэкономи+ческий
внутриэкономический|внутриэкономи+ческий
водно-воздушный|во+дно-возду+шный
водно-мелиоративный|во+дно-мелиорати+вный
водно-моторный|во+дно-мото+рный
водно-солевой|во+дно-солево+й
водно-спиртовой|во+дно-спиртово+й
водноэнергетический|водноэнергети+ческий
водо-водяной|во+до-водяно+й
водопроводно-канализационный|водопрово+дно-канализацио+нный
военно-авиационный|вое+нно-авиацио+нный
военно-административный|вое+нно-администрати+вный
военно-атомный|вое+нно-а+томный
военно-ветеринарный|вое+нно-ветерина+рный
военно-воздушный|вое+нно-возду+шный
военно-врачебный|вое+нно-враче+бный
военно-геодезический|вое+нно-геодези+ческий
военно-гражданский|вое+нно-гражда+нский
военно-дипломатический|вое+нно-дипломати+ческий
военно-дорожный|вое+нно-доро+жный
военно-инженерный|вое+нно-инжене+рный
военно-инструктивный|вое+нно-инструкти+вный
военно-исторический|вое+нно-истори+ческий
военно-медицинский|вое+нно-медици+нский
военно-морской|вое+нно-морско+й
военно-мостовой|вое+нно-мостово+й
военно-окружной|вое+нно-окружно+й
военно-охотничий|вое+нно-охо+тничий
военно-патриотический|вое+нно-патриоти+ческий
военно-полевой|вое+нно-полево+й
военно-политический|вое+нно-полити+ческий
военно-полицейский|вое+нно-полице+йский
военно-почтовый|вое+нно-почто+вый
военно-продовольственный|вое+нно-продово+льственный
военно-промышленный|вое+нно-промы+шленный
военно-революционный|вое+нно-революцио+нный
военно-ремонтный|вое+нно-ремо+нтный
военно-речной|вое+нно-речно+й
военно-санитарный|вое+нно-санита+рный
военно-следственный|вое+нно-сле+дственный
военно-спортивный|вое+нно-спорти+вный
военно-стратегический|вое+нно-стратеги+ческий
военно-строительный|вое+нно-строи+тельный
военно-судебный|вое+нно-суде+бный
военно-сухопутный|вое+нно-сухопу+тный
военно-технический|вое+нно-техни+ческий
военно-топографический|вое+нно-топографи+ческий
военно-транспортный|вое+нно-тра+нспортный
военно-уголовный|вое+нно-уголо+вный
военно-учебный|вое+нно-уче+бный
военно-хозяйственный|вое+нно-хозя+йственный
военно-шефский|вое+нно-ше+фский
военно-экономический|вое+нно-экономи+ческий
военно-юридический|вое+нно-юриди+ческий
возвратно-вращательный|возвра+тно-враща+тельный
возвратно-поворотный|возвра+тно-поворо+тный
возвратно-поступательный|возвра+тно-поступа+тельный
возвратно-средний|возвра+тно-сре+дний
воздухо-воздушный|во+здухо-возду+шный
воздухоэквивалентный|воздухоэквивале+нтный
воздушно-десантный|возду+шно-деса+нтный
воздушно-капельный|возду+шно-ка+пельный
воздушно-кислородный|возду+шно-кислоро+дный
воздушно-конденсационный|возду+шно-конденсацио+нный
воздушно-космический|возду+шно-косми+ческий
воздушно-масляный|возду+шно-ма+сляный
воздушно-механический|возду+шно-механи+ческий
воздушно-морской|возду+шно-морско+й
воздушно-наземный|возду+шно-назе+мный
воздушно-ракетный|возду+шно-раке+тный
воздушно-реактивный|возду+шно-реакти+вный
возрастно-половой|во+зрастно-полово+й
воин-интернационалист|во+ин-интернационали+ст
вокально-инструментальный|вока+льно-инструмента+льный
вокально-симфонический|вока+льно-симфони+ческий
волго-донской|во+лго-донско+й
волей-неволей|во+лей-нево+лей
воленс-ноленс|во+ленс-но+ленс
волокно-сырец|волокно+-сыре+ц
вороно-пегий|во+роно-пе+гий
вороно-чалый|во+роно-ча+лый
воспитательно-профилактический|воспита+тельно-профилакти+ческий
восьмиэтажный|восьмиэта+жный
вполпьяна|вполпья+на+
врачебно-консультационный|враче+бно-консультацио+нный
врачебно-санитарный|враче+бно-санита+рный
вращательно-колебательный|враща+тельно-колеба+тельный
временно-пространственный|вре+менно-простра+нственный
врубово-отбойный|вру+бово-отбо+йный
всемирно-исторический|всеми+рно-истори+ческий
встречно-параллельный|встре+чно-паралле+льный
встречный-поперечный|встре+чный-попере+чный
втэковский|втэ+ковский
вульгарно-материалистический|вульга+рно-материалисти+ческий
вульгарно-социологический|вульга+рно-социологи+ческий
выпиловка|вы+пило+вка
выпиловочный|вы+пило+вочный
выпукло-вогнутый|вы+пукло-во+гнутый
высокоэкономичный|высокоэкономи+чный
высокоэффективный|высокоэффекти+вный
высотно-компенсирующий|высо+тно-компенси+рующий
выставка-продажа|вы+ставка-прода+жа
выставочно-демонстрационный|вы+ставочно-демонстрацио+нный
вьетнамо-советский|вьетна+мо-сове+тский
вьетнамско-русский|вьетна+мско-ру+сский
вьючно-транспортный|вью+чно-тра+нспортный
вязально-трикотажный|вяза+льно-трикота+жный
габбро|га+ббро+
газетно-журнальный|газе+тно-журна+льный
газетно-ротационный|газе+тно-ротацио+нный
газо-газовый|га+зо-га+зовый
газово-печной|га+зово-печно+й
газово-пылевой|газ+ово-пылево+й
газоэлектрический|газоэлектри+ческий
газоэлектросварка|газоэлектросва+рка
газоэлектросварщик|газоэлектросва+рщик
гала-концерт|га+ла+-конце+рт
гала-спектакль|га+ла+-спекта+кль
гамма-астрономия|га+мма-астроно+мия
гамма-глобулин|га+мма-глобули+н
гамма-дефектоскоп|га+мма-дефектоско+п
гамма-дефектоскопия|га+мма-дефектоскопи+я
гамма-железо|га+мма-желе+зо
гамма-излучение|га+мма-излуче+ние
гамма-каротаж|га+мма-карота+ж
